state,District,MPCE_URP,MPCE_MRP,state_1
6,9,1882.33,1861.23,HR
6,9,2154.0,2684.14,HR
6,9,1762.9,2134.3,HR
6,9,1731.83,2096.22,HR
6,9,2250.0,2869.47,HR
6,9,2472.38,2579.33,HR
6,9,1870.8,2307.54,HR
6,9,2042.2,2336.91,HR
6,9,2671.33,3085.9,HR
6,9,2319.5,3077.45,HR
6,9,1503.33,1840.66,HR
6,9,2862.25,3434.3,HR
6,7,4637.0,5422.48,HR
6,7,3387.0,3377.27,HR
6,7,1857.2,1710.42,HR
6,7,1756.8,1695.81,HR
6,7,1743.5,1823.47,HR
6,7,1328.8,1344.66,HR
6,7,1319.67,1330.1,HR
6,7,1664.6,1847.49,HR
6,11,4554.75,5399.29,HR
6,11,4008.0,3868.5,HR
6,11,2253.0,2322.86,HR
6,11,1604.4,1705.66,HR
6,11,1653.0,1780.4,HR
6,11,3084.86,2640.98,HR
6,11,1002.0,1108.04,HR
6,11,1573.0,1694.46,HR
6,6,2299.0,2862.42,HR
6,6,4581.5,3564.62,HR
6,6,1107.6,1275.63,HR
6,6,1650.14,1941.71,HR
6,6,1515.0,1717.33,HR
6,6,1675.67,1923.2,HR
6,6,870.13,992.98,HR
6,6,1106.75,1246.07,HR
6,5,3007.33,2556.65,HR
6,5,2625.0,2831.62,HR
6,5,1469.0,1592.15,HR
6,5,2638.5,2892.27,HR
6,5,6576.0,7073.26,HR
6,5,4052.33,4102.24,HR
6,5,2567.33,2717.2,HR
6,5,1739.0,1883.14,HR
6,2,4438.25,4991.06,HR
6,2,4018.25,4031.57,HR
6,2,2939.4,3214.77,HR
6,2,4712.0,4601.95,HR
6,2,2618.0,2980.28,HR
6,2,3023.67,3225.86,HR
6,2,2629.0,2697.08,HR
6,2,2088.25,2323.47,HR
6,2,6547.67,6525.38,HR
6,2,5250.0,5327.12,HR
6,2,1735.8,1684.87,HR
6,2,1759.5,1894.74,HR
6,2,3033.75,4048.3,HR
6,2,1777.4,3112.0,HR
6,2,810.5,824.54,HR
6,2,992.5,1068.78,HR
6,4,4954.0,5857.29,HR
6,4,1537.0,1620.32,HR
6,4,3219.5,3244.57,HR
6,4,892.33,990.28,HR
6,4,4455.0,7846.51,HR
6,4,1843.33,1903.65,HR
6,4,2761.2,3101.69,HR
6,4,975.14,995.63,HR
6,1,3299.8,3434.9,HR
6,1,2456.0,2514.36,HR
6,1,2969.0,2989.55,HR
6,1,9335.0,10682.95,HR
6,1,2163.6,2198.72,HR
6,1,1886.25,1859.61,HR
6,1,1323.4,1390.47,HR
6,1,3180.0,3302.47,HR
6,3,4161.75,4139.97,HR
6,3,4364.4,3789.61,HR
6,3,2968.0,3913.75,HR
6,3,2168.0,2356.08,HR
6,3,1680.67,3247.2,HR
6,3,3143.0,3084.12,HR
6,3,844.8,925.87,HR
6,3,937.75,971.96,HR
6,3,4235.0,4268.86,HR
6,3,3851.5,3754.19,HR
6,3,1956.33,1767.86,HR
6,3,3157.0,3270.42,HR
6,3,2053.6,2336.72,HR
6,3,1947.67,2194.52,HR
6,3,924.8,935.65,HR
6,3,640.0,638.16,HR
6,19,1213.2,1162.35,HR
6,19,1243.33,1224.75,HR
6,19,2944.67,2609.78,HR
6,19,989.25,1046.78,HR
6,19,2160.0,2191.78,HR
6,19,1469.25,1433.67,HR
6,19,1157.75,1135.81,HR
6,19,993.57,1009.63,HR
6,6,3771.33,4113.3,HR
6,6,2442.33,2639.64,HR
6,6,2799.0,3362.42,HR
6,6,1632.5,1771.82,HR
6,6,2085.0,2250.04,HR
6,6,3759.33,4769.93,HR
6,6,5152.5,4135.62,HR
6,6,2528.5,2805.76,HR
6,19,1377.6,1455.41,HR
6,19,2820.5,2984.4,HR
6,19,2882.5,2925.99,HR
6,19,1950.67,2068.75,HR
6,19,1413.2,1514.16,HR
6,19,4000.0,4286.03,HR
6,19,999.0,1077.86,HR
6,19,1135.29,1183.56,HR
6,14,3496.0,3429.42,HR
6,14,4455.5,4138.27,HR
6,14,2924.0,3125.37,HR
6,14,2729.8,3909.22,HR
6,14,7342.33,4249.64,HR
6,14,2494.8,1927.54,HR
6,14,1556.25,1481.12,HR
6,14,872.43,922.21,HR
6,12,2569.8,2232.4,HR
6,12,1917.0,2007.11,HR
6,12,1306.2,1290.87,HR
6,12,1132.33,1082.15,HR
6,12,1320.63,1447.08,HR
6,12,1710.5,2618.45,HR
6,12,1166.86,1305.98,HR
6,12,1307.5,1309.85,HR
6,12,2927.25,3467.87,HR
6,12,2736.67,3078.58,HR
6,12,986.0,1128.5,HR
6,12,1223.75,1416.04,HR
6,12,1630.67,1777.52,HR
6,12,1336.5,1425.68,HR
6,12,870.0,1098.58,HR
6,12,942.4,1072.65,HR
6,14,4170.67,3562.7,HR
6,14,4409.75,4036.57,HR
6,14,3045.4,2562.74,HR
6,14,2277.0,2036.01,HR
6,14,2205.6,1887.86,HR
6,14,3298.6,2728.16,HR
6,14,1594.67,1457.04,HR
6,14,1985.29,1900.94,HR
6,11,3127.0,3945.08,HR
6,11,2133.0,2293.0,HR
6,11,794.5,1001.21,HR
6,11,2237.0,2258.2,HR
6,11,1711.0,1879.49,HR
6,11,2596.0,3097.37,HR
6,11,1823.0,1980.81,HR
6,11,1606.0,1779.42,HR
6,13,3694.4,3027.55,HR
6,13,1516.0,2450.93,HR
6,13,2888.0,1956.08,HR
6,13,1293.25,1581.54,HR
6,13,3159.8,2598.24,HR
6,13,1054.0,1121.12,HR
6,13,836.89,1118.81,HR
6,13,888.2,963.24,HR
6,13,2481.0,2704.81,HR
6,13,2095.5,2530.98,HR
6,13,2251.0,2546.48,HR
6,13,2728.75,2329.18,HR
6,13,1836.33,1677.43,HR
6,13,2501.0,2412.51,HR
6,13,839.0,1022.29,HR
6,13,830.83,1003.64,HR
6,11,3887.0,4033.4,HR
